"DateTime","open","high","low","close"
2021-10-29 22:48:00,372.08,372.1,372.08,372.1
2021-10-29 22:49:00,372.1,372.12,372.08,372.12
2021-10-29 22:50:00,NaN,NaN,NaN,NaN
2021-10-29 22:51:00,372.5,372.5,372.5,372.5
2021-10-29 22:52:00,372.3,372.3,372.24,372.26
2021-10-29 22:53:00,NaN,NaN,NaN,NaN
2021-10-29 22:54:00,372.1,372.1,372.08,372.08
2021-10-29 22:55:00,372,372.02,372,372.02
2021-10-29 22:56:00,371.9,371.94,371.88,371.88
2021-10-29 22:57:00,NaN,NaN,NaN,NaN
2021-10-29 22:58:00,NaN,NaN,NaN,NaN
2021-10-29 22:59:00,372.2,372.2,372.2,372.2
2021-10-29 23:00:00,372.22,372.28,372.22,372.28
2021-10-29 23:01:00,NaN,NaN,NaN,NaN
2021-10-29 23:02:00,372.08,372.16,371.02,372.12
2021-10-29 23:03:00,372.14,372.24,372.14,372.16
2021-10-29 23:04:00,NaN,NaN,NaN,NaN
2021-10-29 23:05:00,371.94,371.94,371.8,371.8
2021-10-29 23:06:00,371.98,371.98,371.98,371.98
2021-10-29 23:07:00,NaN,NaN,NaN,NaN
2021-10-29 23:08:00,371.98,371.98,371.98,371.98
2021-10-29 23:09:00,372,372,372,372
2021-10-29 23:10:00,NaN,NaN,NaN,NaN
2021-10-29 23:11:00,372.08,372.08,372.08,372.08
2021-10-29 23:12:00,372.06,372.06,372.06,372.06
2021-10-29 23:13:00,371.84,371.84,371.84,371.84
2021-10-29 23:14:00,NaN,NaN,NaN,NaN
2021-10-29 23:15:00,NaN,NaN,NaN,NaN
2021-10-29 23:16:00,371.9,371.9,371.9,371.9
2021-10-29 23:17:00,NaN,NaN,NaN,NaN
2021-10-29 23:18:00,372.12,372.12,372.12,372.12
2021-10-29 23:19:00,NaN,NaN,NaN,NaN
2021-10-29 23:20:00,NaN,NaN,NaN,NaN
2021-10-29 23:21:00,NaN,NaN,NaN,NaN
